ccode,Name,aName,startDate,endDate,Capital,lat,lng
517,Rwanda,NA,1800,2016,Kigali,-1.9705786,30.1044288
520,Somalia,NA,1800,2016,Mogadishu,2.0469343,45.3181623
522,Djibouti,NA,1800,2016,Djibouti City,11.5720765,43.1456475
530,Ethiopia,NA,1800,2016,Addis Ababa,8.9806034,38.7577605
531,Eritrea,NA,1800,2016,Asmara,15.3228767,38.9250517
540,Angola,NA,1800,2016,Luanda,-8.839987599999999,13.2894368
541,Mozambique,NA,1800,2016,Maputo,-25.891968,32.6051351
551,Zambia,NA,1800,2016,Lusaka,-15.3875259,28.3228165
552,Zimbabwe,NA,1800,2016,Harare,-17.8251657,31.03351
553,Malawi,NA,1800,2016,Lilongwe,-13.9626121,33.7741195
560,South Africa,NA,1800,2016,Pretoria,-25.7478676,28.2292712
565,Namibia,NA,1800,2016,Windhoek,-22.5608807,17.0657549
570,Lesotho,NA,1800,2016,Maseru,-29.36321879999999,27.5143603
571,Botswana,NA,1800,2016,Gaborone,-24.6282079,25.9231471
572,Swaziland,NA,1800,2016,Mbabane,-26.3054482,31.1366715
580,Madagascar,NA,1800,2016,Antananarivo,-18.8791902,47.5079055
581,Comoros,NA,1800,2016,Moroni,-11.7172157,43.2473146
590,Mauritius,NA,1800,2016,Port Louis,-20.1608912,57.5012222
591,Seychelles,NA,1800,2016,Victoria,-4.619143,55.4513149
600,Morocco,NA,1800,2016,Rabat,33.9715904,-6.8498129
615,Algeria,NA,1800,2016,Algiers,36.753768,3.0587561
616,Tunisia,NA,1800,2016,Tunis,36.8064948,10.1815316
620,Libya,NA,1800,2016,Tripoli,32.8872094,13.1913383
625,Sudan,NA,1800,2016,Khartoum,15.5006544,32.5598994
626,South Sudan,NA,1800,2016,Juba,4.859363,31.57125
630,Iran,NA,1800,2016,Tehran,35.6891975,51.3889736
640,Turkey,NA,1800,2016,Ankara,39.9333635,32.8597419
645,Iraq,NA,1800,2016,Baghdad,33.3128057,44.3614875
651,Egypt,NA,1800,2016,Cairo,30.0444196,31.2357116
652,Syria,NA,1800,2016,Damascus,33.5138073,36.2765279
660,Lebanon,NA,1800,2016,Beirut,33.8937913,35.5017767
663,Jordan,NA,1800,2016,Amman,31.9453666,35.9283716
666,Israel,NA,1800,2016,Jerusalem,31.768319,35.21371
670,Saudi Arabia,NA,1800,2016,Riyadh,24.7135517,46.6752957
678,Yemen Arab Republic,Yemen,1800,2016,Sanaa,15.3694451,44.1910066
679,Yemen,NA,1800,2016,Sanaa,15.3694451,44.1910066
680,Yemen People's Republic,Yemen,1800,2016,Aden,12.7854969,45.0186548
690,Kuwait,NA,1800,2016,Kuwait City,29.375859,47.9774052
692,Bahrain,NA,1800,2016,Manama,26.2285161,50.5860497
694,Qatar,NA,1800,2016,Doha,25.2854473,51.53103979999999
696,United Arab Emirates,NA,1800,2016,Abu Dhabi,24.453884,54.3773438
698,Oman,NA,1800,2016,Muscat,23.58589,58.4059227
700,Afghanistan,NA,1800,2016,Kabul,34.5553494,69.207486
701,Turkmenistan,NA,1800,2016,Ashgabat,37.9600766,58.32606289999999
702,Tajikistan,NA,1800,2016,Dushanbe,38.5597722,68.7870384
703,Kyrgyzstan,NA,1800,2016,Bishkek,42.8746212,74.5697617
704,Uzbekistan,NA,1800,2016,Tashkent,41.2994958,69.2400734
705,Kazakhstan,NA,1992,1998,Almaty,43.2220146,76.8512485
705,Kazakhstan,NA,1998,2016,Astana,51.16052269999999,71.4703558
710,China,NA,1800,2016,Beijing,39.90419989999999,116.4073963
712,Mongolia,NA,1800,2016,Ulaanbaatar,47.88639879999999,106.9057439
713,Taiwan,NA,1800,2016,Taipei,25.0329694,121.5654177
730,Korea,NA,1800,2016,Seoul,37.566535,126.9779692
731,North Korea,NA,1800,2016,Pyongyang,39.0392193,125.7625241
732,South Korea,NA,1800,2016,Seoul,37.566535,126.9779692
740,Japan,NA,1800,1868,Kyoto,35.0116363,135.7680294
740,Japan,NA,1868,2016,Tokyo,35.6894875,139.6917064
750,India,NA,1800,1912,Calcutta,22.572646,88.36389500000001
750,India,NA,1912,2016,New Delhi,28.6139391,77.2090212
760,Bhutan,NA,1800,2016,Thimphu,27.4727924,89.6392863
770,Pakistan,NA,1947,1959,Karachi,25.0700428,67.2847875
770,Pakistan,NA,1959,1967,Rawalpindi,33.5651107,73.0169135
770,Pakistan,NA,1967,2016,Islamabad,33.6600365,73.2293542
771,Bangladesh,NA,1800,2016,Dhaka,23.810332,90.4125181
775,Myanmar,NA,1948,2005,Rangoon,16.8660694,96.19513200000002
