ccode,Name,aName,startDate,endDate,Capital
920,New Zealand,,1865,,Wellington
935,Vanuatu,,,,Port Vila
940,Solomon Islands,,,,Honiara
946,Kiribati,,,,South Tarawa
947,Tuvalu,,,,Funafuti
950,Fiji,,,,Suva
955,Tonga,,,,Nuku'alofa
970,Nauru,,,,Yaren
983,Marshall Islands,,,,Majuro
986,Palau,,,,Koror
987,Federated States of Micronesia,,,,Palikir
990,Samoa,,,,Apia
